City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
156,Kavieng,PG,81.03,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
158,Zuwarah,LY,77.13,clear sky,32.9312,12.082,يوسف
159,Bengkulu,ID,74.77,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
161,Gbadolite,CD,75.96,broken clouds,4.2833,21.0167,Zenic
165,Gat,IL,75.88,few clouds,31.61,34.7642,OlusHome
168,Iwaki,JP,70.23,clear sky,37.05,140.8833,Toyoko Inn Iwaki Ekimae
169,Jiblah,YE,61.09,overcast clouds,13.9216,44.1467,Tiger Tower Hotel
170,Ucluelet,CA,62.96,overcast clouds,48.9329,-125.5528,Black Rock Oceanfront Resort
172,Tripoli,LY,76.6,clear sky,32.8752,13.1875,Hotel Al-Safwa
173,Marquette,US,62.37,overcast clouds,46.5333,-87.6335,Al Quaal Lodge
174,Kitgum,UG,66.78,scattered clouds,3.2783,32.8867,Jaflo Gardens Hotel
176,Pokhara,NP,67.15,few clouds,28.2333,83.9833,Butterfly Lodge
177,Samarai,PG,79.74,scattered clouds,-10.6167,150.6667,Nuli Sapi
179,Cockburn Town,TC,78.76,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
180,Kigoma,TZ,75.92,overcast clouds,-4.8769,29.6267,MJI Mwema Lodge
181,Kaeo,NZ,63.32,light rain,-35.1,173.7833,Bushido Lodge
183,Nassau,US,81.68,broken clouds,40.7507,-73.5829,Hilton Garden Inn Westbury
184,Carutapera,BR,82.98,overcast clouds,-1.195,-46.02,Lidera
185,Montepuez,MZ,70.88,scattered clouds,-13.1256,38.9997,PembaAparthotel
186,Yeppoon,AU,73.18,clear sky,-23.1333,150.7333,Villa Mar Colina
191,Ponta Do Sol,PT,76.01,overcast clouds,32.6667,-17.1,Hotel do Campo
193,Simpang,ID,73.53,overcast clouds,-1.2667,104.0833,Sk 7 rt 1 dusun 3 rantau makmur berbak
199,Samdari,IN,83.59,few clouds,25.8167,72.5833,Karnoba Ki Dhani
200,Broome,US,67.55,light rain,42.2506,-75.833,Chenango Valley State Park
